#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:1901987	Regulation of cell cycle phase transition	10	431	1.05	1.16	6.30e-06	9606.ENSP00000247191,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000282074,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000358813,9606.ENSP00000363055,9606.ENSP00000481465	DLGAP5,CENPE,NUF2,CDCA5,SPC25,CENPF,KIF14,TTK,ZWINT,FAM83D
GO:0065004	protein-DNA complex assembly	8	229	1.22	1.33	8.34e-06	9606.ENSP00000220514,9606.ENSP00000247191,9606.ENSP00000265148,9606.ENSP00000336868,9606.ENSP00000355922,9606.ENSP00000377007,9606.ENSP00000414109,9606.ENSP00000489236	OIP5,DLGAP5,CENPE,CENPA,CENPF,CENPN,HJURP,H4C8
GO:1901990	Regulation of mitotic cell cycle phase transition	9	332	1.11	1.22	8.34e-06	9606.ENSP00000247191,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000282074,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000358813,9606.ENSP00000363055	DLGAP5,CENPE,NUF2,CDCA5,SPC25,CENPF,KIF14,TTK,ZWINT
GO:0006996	Organelle organization	23	3470	0.5	0.57	1.07e-05	9606.ENSP00000220514,9606.ENSP00000247191,9606.ENSP00000251496,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000282074,9606.ENSP00000300035,9606.ENSP00000336868,9606.ENSP00000355506,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000358813,9606.ENSP00000361298,9606.ENSP00000363055,9606.ENSP00000363524,9606.ENSP00000377007,9606.ENSP00000414109,9606.ENSP00000448955,9606.ENSP00000465992,9606.ENSP00000489236,9606.ENSP00000499238	OIP5,DLGAP5,NCAPG,CENPE,NUF2,CDCA5,SPC25,PCLAF,CENPA,EXO1,CENPF,KIF14,ASPM,TTK,KIF2C,ZWINT,KIF4A,CENPN,HJURP,GAS2L3,KIF18B,H4C8,NUSAP1
GO:0007051	Spindle organization	7	160	1.32	1.37	1.43e-05	9606.ENSP00000247191,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000282074,9606.ENSP00000356379,9606.ENSP00000358813,9606.ENSP00000363524	DLGAP5,CENPE,NUF2,SPC25,ASPM,TTK,KIF4A
GO:0007052	Mitotic spindle organization	6	97	1.47	1.44	1.96e-05	9606.ENSP00000247191,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000282074,9606.ENSP00000358813,9606.ENSP00000363524	DLGAP5,CENPE,NUF2,SPC25,TTK,KIF4A
GO:0051656	Establishment of organelle localization	9	380	1.06	1.09	2.30e-05	9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000336868,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000361298,9606.ENSP00000481465,9606.ENSP00000499238	CENPE,NUF2,CDCA5,CENPA,CENPF,KIF14,KIF2C,FAM83D,NUSAP1
GO:0007080	Mitotic metaphase plate congression	5	53	1.66	1.47	3.43e-05	9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000356319,9606.ENSP00000361298	CENPE,NUF2,CDCA5,KIF14,KIF2C
GO:0051128	Regulation of cellular component organization	18	2365	0.56	0.58	9.34e-05	9606.ENSP00000228843,9606.ENSP00000247191,9606.ENSP00000251496,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000282074,9606.ENSP00000285116,9606.ENSP00000319417,9606.ENSP00000324020,9606.ENSP00000328228,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000358813,9606.ENSP00000361895,9606.ENSP00000363055,9606.ENSP00000414109,9606.ENSP00000499238	RAD51AP1,DLGAP5,NCAPG,CENPE,NUF2,CDCA5,SPC25,SKA1,SKA3,KIF15,CDCA2,CENPF,KIF14,TTK,MFSD2A,ZWINT,HJURP,NUSAP1
GO:0008608	Attachment of spindle microtubules to kinetochore	4	26	1.87	1.39	0.00011	9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000282074,9606.ENSP00000361298	CENPE,NUF2,SPC25,KIF2C
