#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-388479	Vasopressin-like receptors	5	6	2.36	2.45	1.80e-08	9606.ENSP00000217386,9606.ENSP00000299178,9606.ENSP00000324270,9606.ENSP00000356094,9606.ENSP00000369647	OXT,AVPR1A,OXTR,AVPR1B,AVP
HSA-392851	Prostacyclin signalling through prostacyclin receptor	6	19	1.94	2.3	2.19e-08	9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000360021,9606.ENSP00000360141,9606.ENSP00000363411,9606.ENSP00000398629	GNG8,GNG2,GNG12,GNAS,GNG10,GNG4
HSA-432040	Vasopressin regulates renal water homeostasis via Aquaporins	7	42	1.66	2.11	3.22e-08	9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000360021,9606.ENSP00000360141,9606.ENSP00000363411,9606.ENSP00000369647,9606.ENSP00000398629	GNG8,GNG2,GNG12,GNAS,GNG10,AVP,GNG4
HSA-9662851	Anti-inflammatory response favouring Leishmania parasite infection	8	80	1.44	1.87	6.89e-08	9606.ENSP00000282018,9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000360021,9606.ENSP00000360141,9606.ENSP00000362401,9606.ENSP00000363411,9606.ENSP00000398629	CYSLTR2,GNG8,GNG2,GNG12,GNAS,CYSLTR1,GNG10,GNG4
HSA-112043	PLC beta mediated events	7	49	1.59	1.97	7.82e-08	9606.ENSP00000078429,9606.ENSP00000260402,9606.ENSP00000262958,9606.ENSP00000286548,9606.ENSP00000338185,9606.ENSP00000365807,9606.ENSP00000443631	GNA11,PLCB2,GNA15,GNAQ,PLCB1,GNA14,PLCB3
HSA-373080	Class B/2 (Secretin family receptors)	8	94	1.37	1.71	1.98e-07	9606.ENSP00000273610,9606.ENSP00000276571,9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000360021,9606.ENSP00000360141,9606.ENSP00000363411,9606.ENSP00000398629	UCN2,CRH,GNG8,GNG2,GNG12,GNAS,GNG10,GNG4
HSA-76002	Platelet activation, signaling and aggregation	11	260	1.06	1.4	2.10e-07	9606.ENSP00000078429,9606.ENSP00000260356,9606.ENSP00000262958,9606.ENSP00000286548,9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000360021,9606.ENSP00000363411,9606.ENSP00000365807,9606.ENSP00000393333,9606.ENSP00000398629	GNA11,THBS1,GNA15,GNAQ,GNG8,GNG2,GNG12,GNG10,GNA14,TBXA2R,GNG4
HSA-163359	Glucagon signaling in metabolic regulation	6	33	1.7	1.89	3.04e-07	9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000360021,9606.ENSP00000360141,9606.ENSP00000363411,9606.ENSP00000398629	GNG8,GNG2,GNG12,GNAS,GNG10,GNG4
HSA-420092	Glucagon-type ligand receptors	6	33	1.7	1.89	3.04e-07	9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000360021,9606.ENSP00000360141,9606.ENSP00000363411,9606.ENSP00000398629	GNG8,GNG2,GNG12,GNAS,GNG10,GNG4
HSA-8964315	G beta:gamma signalling through BTK	5	18	1.88	1.83	9.23e-07	9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000360021,9606.ENSP00000363411,9606.ENSP00000398629	GNG8,GNG2,GNG12,GNG10,GNG4
