#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-1442490	Collagen degradation	20	64	2.01	7.85	2.46e-31	9606.ENSP00000225964,9606.ENSP00000265379,9606.ENSP00000295550,9606.ENSP00000297268,9606.ENSP00000300527,9606.ENSP00000304408,9606.ENSP00000331902,9606.ENSP00000349790,9606.ENSP00000351310,9606.ENSP00000352798,9606.ENSP00000353654,9606.ENSP00000355180,9606.ENSP00000360882,9606.ENSP00000364000,9606.ENSP00000364140,9606.ENSP00000364979,9606.ENSP00000378340,9606.ENSP00000379823,9606.ENSP00000379866,9606.ENSP00000380901	COL1A1,COL6A5,COL6A3,COL1A2,COL6A2,COL3A1,COL4A5,COL9A1,COL6A6,COL18A1,COL4A2,COL6A1,COL5A1,COL5A2,COL15A1,COL4A1,COL4A6,COL4A3,COL4A4,COL8A2
HSA-419037	NCAM1 interactions	14	42	2.04	5.9	1.11e-21	9606.ENSP00000265379,9606.ENSP00000295550,9606.ENSP00000300527,9606.ENSP00000304408,9606.ENSP00000331902,9606.ENSP00000349790,9606.ENSP00000351310,9606.ENSP00000353654,9606.ENSP00000355180,9606.ENSP00000360882,9606.ENSP00000364000,9606.ENSP00000364979,9606.ENSP00000379823,9606.ENSP00000379866	COL6A5,COL6A3,COL6A2,COL3A1,COL4A5,COL9A1,COL6A6,COL4A2,COL6A1,COL5A1,COL5A2,COL4A1,COL4A3,COL4A4
HSA-8874081	MET activates PTK2 signaling	13	30	2.15	6.05	2.77e-21	9606.ENSP00000222399,9606.ENSP00000225964,9606.ENSP00000258341,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000304408,9606.ENSP00000315190,9606.ENSP00000346839,9606.ENSP00000354360,9606.ENSP00000360882,9606.ENSP00000364000,9606.ENSP00000379350,9606.ENSP00000400365	LAMB1,COL1A1,LAMC1,ITGA2,COL1A2,COL3A1,ITGA3,FN1,LAMC3,COL5A1,COL5A2,ITGB1,LAMA2
HSA-186797	Signaling by PDGF	14	58	1.9	5.19	4.72e-20	9606.ENSP00000265379,9606.ENSP00000295550,9606.ENSP00000300527,9606.ENSP00000304408,9606.ENSP00000331902,9606.ENSP00000349790,9606.ENSP00000351310,9606.ENSP00000353654,9606.ENSP00000355180,9606.ENSP00000360882,9606.ENSP00000364000,9606.ENSP00000364979,9606.ENSP00000379823,9606.ENSP00000379866	COL6A5,COL6A3,COL6A2,COL3A1,COL4A5,COL9A1,COL6A6,COL4A2,COL6A1,COL5A1,COL5A2,COL4A1,COL4A3,COL4A4
HSA-9006934	Signaling by Receptor Tyrosine Kinases	24	521	1.18	2.72	4.97e-20	9606.ENSP00000222399,9606.ENSP00000225964,9606.ENSP00000258341,9606.ENSP00000265379,9606.ENSP00000295550,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000300527,9606.ENSP00000304408,9606.ENSP00000315190,9606.ENSP00000331902,9606.ENSP00000346839,9606.ENSP00000349790,9606.ENSP00000351310,9606.ENSP00000353654,9606.ENSP00000354360,9606.ENSP00000355180,9606.ENSP00000360882,9606.ENSP00000364000,9606.ENSP00000364979,9606.ENSP00000379350,9606.ENSP00000379823,9606.ENSP00000379866,9606.ENSP00000400365	LAMB1,COL1A1,LAMC1,COL6A5,COL6A3,ITGA2,COL1A2,COL6A2,COL3A1,ITGA3,COL4A5,FN1,COL9A1,COL6A6,COL4A2,LAMC3,COL6A1,COL5A1,COL5A2,COL4A1,ITGB1,COL4A3,COL4A4,LAMA2
HSA-1566948	Elastic fibre formation	13	44	1.99	5.3	1.30e-19	9606.ENSP00000222573,9606.ENSP00000261921,9606.ENSP00000283249,9606.ENSP00000296181,9606.ENSP00000325527,9606.ENSP00000331544,9606.ENSP00000346839,9606.ENSP00000364685,9606.ENSP00000367316,9606.ENSP00000378957,9606.ENSP00000379350,9606.ENSP00000386043,9606.ENSP00000424571	ITGB8,LOXL1,ITGB6,ITGB5,FBN1,FBLN1,FN1,MFAP2,ITGA8,MFAP4,ITGB1,LTBP1,FBN2
HSA-2129379	Molecules associated with elastic fibres	12	37	2.03	5.1	1.94e-18	9606.ENSP00000222573,9606.ENSP00000283249,9606.ENSP00000296181,9606.ENSP00000325527,9606.ENSP00000331544,9606.ENSP00000346839,9606.ENSP00000364685,9606.ENSP00000367316,9606.ENSP00000378957,9606.ENSP00000379350,9606.ENSP00000386043,9606.ENSP00000424571	ITGB8,ITGB6,ITGB5,FBN1,FBLN1,FN1,MFAP2,ITGA8,MFAP4,ITGB1,LTBP1,FBN2
HSA-9675108	Nervous system development	22	575	1.1	2.25	1.32e-16	9606.ENSP00000222399,9606.ENSP00000258341,9606.ENSP00000264741,9606.ENSP00000265379,9606.ENSP00000282588,9606.ENSP00000295550,9606.ENSP00000296585,9606.ENSP00000300527,9606.ENSP00000304408,9606.ENSP00000331902,9606.ENSP00000349790,9606.ENSP00000351310,9606.ENSP00000353654,9606.ENSP00000355180,9606.ENSP00000358310,9606.ENSP00000360882,9606.ENSP00000364000,9606.ENSP00000364979,9606.ENSP00000379350,9606.ENSP00000379823,9606.ENSP00000379866,9606.ENSP00000400365	LAMB1,LAMC1,ITGA9,COL6A5,ITGA1,COL6A3,ITGA2,COL6A2,COL3A1,COL4A5,COL9A1,COL6A6,COL4A2,COL6A1,ITGA10,COL5A1,COL5A2,COL4A1,ITGB1,COL4A3,COL4A4,LAMA2
HSA-3000170	Syndecan interactions	10	27	2.08	4.5	9.96e-16	9606.ENSP00000200181,9606.ENSP00000225964,9606.ENSP00000296181,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000304408,9606.ENSP00000346839,9606.ENSP00000360882,9606.ENSP00000364000,9606.ENSP00000379350	ITGB4,COL1A1,ITGB5,ITGA2,COL1A2,COL3A1,FN1,COL5A1,COL5A2,ITGB1
HSA-422475	Axon guidance	21	551	1.1	2.2	9.96e-16	9606.ENSP00000222399,9606.ENSP00000258341,9606.ENSP00000264741,9606.ENSP00000265379,9606.ENSP00000282588,9606.ENSP00000295550,9606.ENSP00000296585,9606.ENSP00000300527,9606.ENSP00000304408,9606.ENSP00000331902,9606.ENSP00000349790,9606.ENSP00000351310,9606.ENSP00000353654,9606.ENSP00000355180,9606.ENSP00000358310,9606.ENSP00000360882,9606.ENSP00000364000,9606.ENSP00000364979,9606.ENSP00000379350,9606.ENSP00000379823,9606.ENSP00000379866	LAMB1,LAMC1,ITGA9,COL6A5,ITGA1,COL6A3,ITGA2,COL6A2,COL3A1,COL4A5,COL9A1,COL6A6,COL4A2,COL6A1,ITGA10,COL5A1,COL5A2,COL4A1,ITGB1,COL4A3,COL4A4
