#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-9694516	SARS-CoV-2 Infection	8	294	0.96	0.79	0.00058	9606.ENSP00000222823,9606.ENSP00000315768,9606.ENSP00000353512,9606.ENSP00000354394,9606.ENSP00000369213,9606.ENSP00000380697,9606.ENSP00000418194,9606.ENSP00000497271	NOD1,STAT2,PARP9,STAT1,DDX58,IRF7,PARP14,IFIH1
HSA-9679506	SARS-CoV Infections	9	411	0.86	0.73	0.00070	9606.ENSP00000222823,9606.ENSP00000252593,9606.ENSP00000315768,9606.ENSP00000353512,9606.ENSP00000354394,9606.ENSP00000369213,9606.ENSP00000380697,9606.ENSP00000418194,9606.ENSP00000497271	NOD1,BST2,STAT2,PARP9,STAT1,DDX58,IRF7,PARP14,IFIH1
HSA-168249	Innate Immune System	13	1041	0.62	0.54	0.0018	9606.ENSP00000011653,9606.ENSP00000215794,9606.ENSP00000217740,9606.ENSP00000222823,9606.ENSP00000251642,9606.ENSP00000252593,9606.ENSP00000264350,9606.ENSP00000287156,9606.ENSP00000331602,9606.ENSP00000369213,9606.ENSP00000380697,9606.ENSP00000460475,9606.ENSP00000497271	CD4,USP18,RNF125,NOD1,DHX58,BST2,HERC5,UBE2L6,PRKCD,DDX58,IRF7,NLRP1,IFIH1
HSA-918233	TRAF3-dependent IRF activation pathway	3	15	1.82	0.83	0.0030	9606.ENSP00000369213,9606.ENSP00000380697,9606.ENSP00000497271	DDX58,IRF7,IFIH1
HSA-9678108	SARS-CoV-1 Infection	5	140	1.08	0.58	0.0097	9606.ENSP00000252593,9606.ENSP00000353512,9606.ENSP00000369213,9606.ENSP00000418194,9606.ENSP00000497271	BST2,PARP9,DDX58,PARP14,IFIH1
HSA-5663205	Infectious disease	11	917	0.6	0.44	0.0100	9606.ENSP00000011653,9606.ENSP00000222823,9606.ENSP00000233057,9606.ENSP00000252593,9606.ENSP00000315768,9606.ENSP00000353512,9606.ENSP00000354394,9606.ENSP00000369213,9606.ENSP00000380697,9606.ENSP00000418194,9606.ENSP00000497271	CD4,NOD1,EIF2AK2,BST2,STAT2,PARP9,STAT1,DDX58,IRF7,PARP14,IFIH1
HSA-912694	Regulation of IFNA/IFNB signaling	3	25	1.6	0.65	0.0100	9606.ENSP00000215794,9606.ENSP00000315768,9606.ENSP00000354394	USP18,STAT2,STAT1
HSA-933541	TRAF6 mediated IRF7 activation	3	29	1.54	0.6	0.0135	9606.ENSP00000369213,9606.ENSP00000380697,9606.ENSP00000497271	DDX58,IRF7,IFIH1
HSA-5689896	Ovarian tumor domain proteases	3	39	1.41	0.49	0.0291	9606.ENSP00000222823,9606.ENSP00000369213,9606.ENSP00000497271	NOD1,DDX58,IFIH1
HSA-9692916	SARS-CoV-1 activates/modulates innate immune responses	3	40	1.4	0.49	0.0298	9606.ENSP00000252593,9606.ENSP00000369213,9606.ENSP00000497271	BST2,DDX58,IFIH1
