#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0004984	Olfactory receptor activity	41	397	1.64	7.56	1.09e-58	9606.ENSP00000248072,9606.ENSP00000279783,9606.ENSP00000305424,9606.ENSP00000307159,9606.ENSP00000307726,9606.ENSP00000308764,9606.ENSP00000310788,9606.ENSP00000316955,9606.ENSP00000318997,9606.ENSP00000319071,9606.ENSP00000321246,9606.ENSP00000324557,9606.ENSP00000328215,9606.ENSP00000335025,9606.ENSP00000353537,9606.ENSP00000355441,9606.ENSP00000357126,9606.ENSP00000366354,9606.ENSP00000366378,9606.ENSP00000467301,9606.ENSP00000477259,9606.ENSP00000480583,9606.ENSP00000485240,9606.ENSP00000485292,9606.ENSP00000492907,9606.ENSP00000492919,9606.ENSP00000492924,9606.ENSP00000492974,9606.ENSP00000492990,9606.ENSP00000492999,9606.ENSP00000493005,9606.ENSP00000493055,9606.ENSP00000493075,9606.ENSP00000493267,9606.ENSP00000493312,9606.ENSP00000493320,9606.ENSP00000493343,9606.ENSP00000493354,9606.ENSP00000493364,9606.ENSP00000493386,9606.ENSP00000493404	OR7C2,OR8K1,OR1F1,OR8B12,OR2C1,OR52I2,OR5J2,OR7A5,OR11H4,OR11H6,OR56A1,OR2M7,OR56A4,OR5D18,OR5B21,OR14A2,OR6K6,OR11A1,OR2B3,OR4F17,OR8J1,OR52E5,OR5AR1,OR52R1,OR6B1,OR10A6,OR9Q2,OR2M2,OR6A2,OR8A1,OR51M1,OR7A10,OR2L13,OR5K1,OR2J1,OR2A7,OR2A25,OR10G4,OR5T1,OR4E2,OR7D4
GO:0004930	G protein-coupled receptor activity	41	831	1.32	4.2	2.31e-46	9606.ENSP00000248072,9606.ENSP00000279783,9606.ENSP00000305424,9606.ENSP00000307159,9606.ENSP00000307726,9606.ENSP00000308764,9606.ENSP00000310788,9606.ENSP00000316955,9606.ENSP00000318997,9606.ENSP00000319071,9606.ENSP00000321246,9606.ENSP00000324557,9606.ENSP00000328215,9606.ENSP00000335025,9606.ENSP00000353537,9606.ENSP00000355441,9606.ENSP00000357126,9606.ENSP00000366354,9606.ENSP00000366378,9606.ENSP00000467301,9606.ENSP00000477259,9606.ENSP00000480583,9606.ENSP00000485240,9606.ENSP00000485292,9606.ENSP00000492907,9606.ENSP00000492919,9606.ENSP00000492924,9606.ENSP00000492974,9606.ENSP00000492990,9606.ENSP00000492999,9606.ENSP00000493005,9606.ENSP00000493055,9606.ENSP00000493075,9606.ENSP00000493267,9606.ENSP00000493312,9606.ENSP00000493320,9606.ENSP00000493343,9606.ENSP00000493354,9606.ENSP00000493364,9606.ENSP00000493386,9606.ENSP00000493404	OR7C2,OR8K1,OR1F1,OR8B12,OR2C1,OR52I2,OR5J2,OR7A5,OR11H4,OR11H6,OR56A1,OR2M7,OR56A4,OR5D18,OR5B21,OR14A2,OR6K6,OR11A1,OR2B3,OR4F17,OR8J1,OR52E5,OR5AR1,OR52R1,OR6B1,OR10A6,OR9Q2,OR2M2,OR6A2,OR8A1,OR51M1,OR7A10,OR2L13,OR5K1,OR2J1,OR2A7,OR2A25,OR10G4,OR5T1,OR4E2,OR7D4
GO:0005549	Odorant binding	16	109	1.79	5.18	2.58e-21	9606.ENSP00000279783,9606.ENSP00000307159,9606.ENSP00000307726,9606.ENSP00000310788,9606.ENSP00000335025,9606.ENSP00000353537,9606.ENSP00000355441,9606.ENSP00000357126,9606.ENSP00000477259,9606.ENSP00000485240,9606.ENSP00000492924,9606.ENSP00000492999,9606.ENSP00000493267,9606.ENSP00000493320,9606.ENSP00000493343,9606.ENSP00000493386	OR8K1,OR8B12,OR2C1,OR5J2,OR5D18,OR5B21,OR14A2,OR6K6,OR8J1,OR5AR1,OR9Q2,OR8A1,OR5K1,OR2A7,OR2A25,OR4E2
GO:0031849	Olfactory receptor binding	3	6	2.32	1.12	0.00074	9606.ENSP00000311712,9606.ENSP00000350976,9606.ENSP00000392197	RTP1,RTP2,REEP1
